target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_7,2,7,167.20146192915996,0.17580220103263855
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_9,1,9,192.23481691267153,0.22642868757247925
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_12,3,12,156.90675152813253,0.12848612666130066
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_5,2,5,169.27537686492292,0.17487600445747375
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_9,5,9,150.91633103222557,0.06733348965644836
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_8,2,8,167.90345559519716,0.17555049061775208
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_7,5,7,148.0414645951131,0.06852275133132935
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_10,2,10,169.619169042108,0.15363377332687378
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_4,1,4,188.66105916922277,0.24417828023433685
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_14,1,14,188.33224779503564,0.22691118717193604
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_2,3,2,161.30953994003818,0.13588421046733856
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_3,5,3,150.6957889796529,0.08801227807998657
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_13,3,13,160.2686691769344,0.10701934248209
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_6,5,6,150.35545243252085,0.06914124637842178
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_13,1,13,186.44467541359012,0.22973395884037018
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_5,1,5,195.71208693015683,0.22064217925071716
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_14,4,14,154.82039539847148,0.10232186317443848
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_15,2,15,167.9911348003808,0.18487045168876648
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_1,1,1,190.27241696548464,0.22709566354751587
